# time 1487894400
# channel x_bin_low_edge x_bin_high_edge correction correction_err
0 0.000000 10.000000 1.030133 0.000000
1 10.000000 20.000000 1.029864 0.000000
2 20.000000 30.000000 1.016371 0.000000
3 30.000000 40.000000 1.027679 0.000000
4 40.000000 50.000000 1.027700 0.000000
5 50.000000 60.000000 1.028479 0.000000
6 60.000000 70.000000 1.020014 0.000000
7 70.000000 80.000000 1.019416 0.000000
8 80.000000 90.000000 1.019869 0.000000
9 90.000000 100.000000 1.009862 0.000000
10 100.000000 110.000000 0.989984 0.000000
11 110.000000 120.000000 0.989261 0.000000
12 120.000000 130.000000 0.997143 0.000000
13 130.000000 140.000000 0.990143 0.000000
14 140.000000 150.000000 0.979841 0.000000
15 150.000000 160.000000 0.984654 0.000000
16 160.000000 170.000000 0.986440 0.000000
17 170.000000 180.000000 0.998686 0.000000
18 180.000000 190.000000 0.978186 0.000000
19 190.000000 200.000000 0.981109 0.000000
20 200.000000 210.000000 0.976784 0.000000
21 210.000000 220.000000 0.976648 0.000000
22 220.000000 230.000000 0.966349 0.000000
23 230.000000 240.000000 0.966324 0.000000
24 240.000000 250.000000 0.963874 0.000000
25 250.000000 260.000000 1.000904 0.000000
26 1000000.000000 1100000.000000 0.000000 0.000000
27 1000000.000000 1100000.000000 0.000000 0.000000
28 1000000.000000 1100000.000000 0.000000 0.000000
29 1000000.000000 1100000.000000 0.000000 0.000000
30 1000000.000000 1100000.000000 0.000000 0.000000
31 1000000.000000 1100000.000000 0.000000 0.000000
32 1000000.000000 1100000.000000 0.000000 0.000000
33 1000000.000000 1100000.000000 0.000000 0.000000
34 1000000.000000 1100000.000000 0.000000 0.000000
35 1000000.000000 1100000.000000 0.000000 0.000000
36 1000000.000000 1100000.000000 0.000000 0.000000
37 1000000.000000 1100000.000000 0.000000 0.000000
38 1000000.000000 1100000.000000 0.000000 0.000000
39 1000000.000000 1100000.000000 0.000000 0.000000
40 1000000.000000 1100000.000000 0.000000 0.000000
41 1000000.000000 1100000.000000 0.000000 0.000000
42 1000000.000000 1100000.000000 0.000000 0.000000
43 1000000.000000 1100000.000000 0.000000 0.000000
44 1000000.000000 1100000.000000 0.000000 0.000000
45 1000000.000000 1100000.000000 0.000000 0.000000
46 1000000.000000 1100000.000000 0.000000 0.000000
47 1000000.000000 1100000.000000 0.000000 0.000000
48 1000000.000000 1100000.000000 0.000000 0.000000
49 1000000.000000 1100000.000000 0.000000 0.000000
50 1000000.000000 1100000.000000 0.000000 0.000000
51 1000000.000000 1100000.000000 0.000000 0.000000
52 1000000.000000 1100000.000000 0.000000 0.000000
53 1000000.000000 1100000.000000 0.000000 0.000000
54 1000000.000000 1100000.000000 0.000000 0.000000
55 1000000.000000 1100000.000000 0.000000 0.000000
56 1000000.000000 1100000.000000 0.000000 0.000000
57 1000000.000000 1100000.000000 0.000000 0.000000
58 1000000.000000 1100000.000000 0.000000 0.000000
59 1000000.000000 1100000.000000 0.000000 0.000000
60 1000000.000000 1100000.000000 0.000000 0.000000
61 1000000.000000 1100000.000000 0.000000 0.000000
62 1000000.000000 1100000.000000 0.000000 0.000000
63 1000000.000000 1100000.000000 0.000000 0.000000
64 1000000.000000 1100000.000000 0.000000 0.000000
65 1000000.000000 1100000.000000 0.000000 0.000000
66 1000000.000000 1100000.000000 0.000000 0.000000
67 1000000.000000 1100000.000000 0.000000 0.000000
68 1000000.000000 1100000.000000 0.000000 0.000000
69 1000000.000000 1100000.000000 0.000000 0.000000
70 1000000.000000 1100000.000000 0.000000 0.000000
71 1000000.000000 1100000.000000 0.000000 0.000000
72 1000000.000000 1100000.000000 0.000000 0.000000
73 1000000.000000 1100000.000000 0.000000 0.000000
74 1000000.000000 1100000.000000 0.000000 0.000000
75 1000000.000000 1100000.000000 0.000000 0.000000
76 1000000.000000 1100000.000000 0.000000 0.000000
77 1000000.000000 1100000.000000 0.000000 0.000000
78 1000000.000000 1100000.000000 0.000000 0.000000
79 1000000.000000 1100000.000000 0.000000 0.000000
80 1000000.000000 1100000.000000 0.000000 0.000000
81 1000000.000000 1100000.000000 0.000000 0.000000
82 1000000.000000 1100000.000000 0.000000 0.000000
83 1000000.000000 1100000.000000 0.000000 0.000000
84 1000000.000000 1100000.000000 0.000000 0.000000
85 1000000.000000 1100000.000000 0.000000 0.000000
86 1000000.000000 1100000.000000 0.000000 0.000000
87 1000000.000000 1100000.000000 0.000000 0.000000
88 1000000.000000 1100000.000000 0.000000 0.000000
89 1000000.000000 1100000.000000 0.000000 0.000000
90 1000000.000000 1100000.000000 0.000000 0.000000
91 1000000.000000 1100000.000000 0.000000 0.000000
92 1000000.000000 1100000.000000 0.000000 0.000000
93 1000000.000000 1100000.000000 0.000000 0.000000
94 1000000.000000 1100000.000000 0.000000 0.000000
95 1000000.000000 1100000.000000 0.000000 0.000000
96 1000000.000000 1100000.000000 0.000000 0.000000
97 1000000.000000 1100000.000000 0.000000 0.000000
98 1000000.000000 1100000.000000 0.000000 0.000000
99 1000000.000000 1100000.000000 0.000000 0.000000
100 1000000.000000 1100000.000000 0.000000 0.000000
101 1000000.000000 1100000.000000 0.000000 0.000000
102 1000000.000000 1100000.000000 0.000000 0.000000
103 1000000.000000 1100000.000000 0.000000 0.000000
104 1000000.000000 1100000.000000 0.000000 0.000000
105 1000000.000000 1100000.000000 0.000000 0.000000
106 1000000.000000 1100000.000000 0.000000 0.000000
107 1000000.000000 1100000.000000 0.000000 0.000000
108 1000000.000000 1100000.000000 0.000000 0.000000
109 1000000.000000 1100000.000000 0.000000 0.000000
110 1000000.000000 1100000.000000 0.000000 0.000000
111 1000000.000000 1100000.000000 0.000000 0.000000
112 1000000.000000 1100000.000000 0.000000 0.000000
113 1000000.000000 1100000.000000 0.000000 0.000000
114 1000000.000000 1100000.000000 0.000000 0.000000
115 1000000.000000 1100000.000000 0.000000 0.000000
116 1000000.000000 1100000.000000 0.000000 0.000000
117 1000000.000000 1100000.000000 0.000000 0.000000
118 1000000.000000 1100000.000000 0.000000 0.000000
119 1000000.000000 1100000.000000 0.000000 0.000000
120 1000000.000000 1100000.000000 0.000000 0.000000
121 1000000.000000 1100000.000000 0.000000 0.000000
122 1000000.000000 1100000.000000 0.000000 0.000000
123 1000000.000000 1100000.000000 0.000000 0.000000
124 1000000.000000 1100000.000000 0.000000 0.000000
125 1000000.000000 1100000.000000 0.000000 0.000000
126 1000000.000000 1100000.000000 0.000000 0.000000
127 1000000.000000 1100000.000000 0.000000 0.000000
128 1000000.000000 1100000.000000 0.000000 0.000000
129 1000000.000000 1100000.000000 0.000000 0.000000
130 1000000.000000 1100000.000000 0.000000 0.000000
