# time 1514764800
# channel y_bin_low_edge y_bin_high_edge z_bin_low_edge z_bin_high_edge correction correction_err
0 -120.000000 -115.000000 0.000000 5.000000 0.000000 0.000000
1 -120.000000 -115.000000 5.000000 10.000000 1.615298 0.000000
2 -120.000000 -115.000000 10.000000 15.000000 0.000000 0.000000
3 -120.000000 -115.000000 15.000000 20.000000 0.000000 0.000000
4 -120.000000 -115.000000 20.000000 25.000000 0.000000 0.000000
5 -120.000000 -115.000000 25.000000 30.000000 0.000000 0.000000
6 -120.000000 -115.000000 30.000000 35.000000 0.000000 0.000000
7 -120.000000 -115.000000 35.000000 40.000000 0.000000 0.000000
8 -120.000000 -115.000000 40.000000 45.000000 0.000000 0.000000
9 -120.000000 -115.000000 45.000000 50.000000 0.000000 0.000000
10 -120.000000 -115.000000 50.000000 55.000000 0.000000 0.000000
11 -120.000000 -115.000000 55.000000 60.000000 0.000000 0.000000
12 -120.000000 -115.000000 60.000000 65.000000 0.000000 0.000000
13 -120.000000 -115.000000 65.000000 70.000000 0.000000 0.000000
14 -120.000000 -115.000000 70.000000 75.000000 1.341746 0.000000
15 -120.000000 -115.000000 75.000000 80.000000 1.429227 0.000000
16 -120.000000 -115.000000 80.000000 85.000000 0.000000 0.000000
17 -120.000000 -115.000000 85.000000 90.000000 0.801352 0.000000
18 -120.000000 -115.000000 90.000000 95.000000 1.079971 0.000000
19 -120.000000 -115.000000 95.000000 100.000000 0.000000 0.000000
20 -120.000000 -115.000000 100.000000 105.000000 1.133807 0.000000
21 -120.000000 -115.000000 105.000000 110.000000 1.026801 0.000000
22 -120.000000 -115.000000 110.000000 115.000000 0.000000 0.000000
23 -120.000000 -115.000000 115.000000 120.000000 1.172218 0.000000
24 -120.000000 -115.000000 120.000000 125.000000 0.000000 0.000000
25 -120.000000 -115.000000 125.000000 130.000000 0.000000 0.000000
26 -120.000000 -115.000000 130.000000 135.000000 0.000000 0.000000
27 -120.000000 -115.000000 135.000000 140.000000 0.000000 0.000000
28 -120.000000 -115.000000 140.000000 145.000000 0.000000 0.000000
29 -120.000000 -115.000000 145.000000 150.000000 1.071357 0.000000
30 -120.000000 -115.000000 150.000000 155.000000 0.680335 0.000000
31 -120.000000 -115.000000 155.000000 160.000000 0.000000 0.000000
32 -120.000000 -115.000000 160.000000 165.000000 1.048453 0.000000
33 -120.000000 -115.000000 165.000000 170.000000 0.916698 0.000000
